Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score
19,Female,Undergraduate,Bangladesh,5.2,Instagram,1,6.5,6,3,8
22,Male,Graduate,India,2.1,Twitter,0,7.5,8,0,3
20,Female,Undergraduate,Usa,6.0,Tiktok,1,5.0,5,4,9
18,Male,High School,Uk,3.0,Youtube,0,7.0,7,1,4
21,Male,Graduate,Canada,4.5,Facebook,1,6.0,6,2,7
19,Female,Undergraduate,Australia,7.2,Instagram,1,4.5,4,5,9
23,Male,Graduate,Germany,1.5,Linkedin,0,8.0,9,0,2
20,Female,Undergraduate,Brazil,5.8,Snapchat,1,6.0,6,2,8
18,Male,High School,Japan,4.0,Tiktok,0,6.5,7,1,5
21,Female,Graduate,South Korea,3.3,Instagram,0,7.0,7,1,4
19,Male,Undergraduate,France,4.8,Snapchat,1,6.2,5,3,7
20,Female,Undergraduate,Spain,5.5,Tiktok,1,5.8,6,2,8
22,Male,Graduate,Italy,2.8,Linkedin,0,7.2,8,1,4
18,Female,High School,Mexico,6.5,Instagram,1,5.5,5,4,9
21,Male,Undergraduate,Russia,3.7,Youtube,0,6.8,7,2,5
20,Female,Undergraduate,China,4.2,Tiktok,1,6.0,6,3,7
24,Male,Graduate,Sweden,2.0,Linkedin,0,7.8,8,0,3
19,Female,High School,Norway,5.0,Instagram,1,5.7,5,3,8
21,Male,Undergraduate,Denmark,3.5,Facebook,0,6.7,7,1,5
20,Female,Undergraduate,Netherlands,4.7,Snapchat,1,5.9,6,3,7
18,Male,High School,Belgium,5.3,Tiktok,1,5.5,5,4,8
23,Female,Graduate,Switzerland,2.5,Linkedin,0,7.3,8,1,4
19,Male,Undergraduate,Austria,4.9,Instagram,1,5.8,6,3,7
20,Female,Undergraduate,Portugal,5.7,Tiktok,1,5.4,5,4,8
22,Male,Graduate,Greece,3.2,Facebook,0,6.9,7,2,5
19,Female,High School,Ireland,6.1,Instagram,1,5.2,5,4,9
21,Male,Undergraduate,New Zealand,3.8,Youtube,0,6.6,7,1,5
20,Female,Undergraduate,Singapore,4.4,Tiktok,1,5.9,6,3,7
24,Male,Graduate,Malaysia,2.2,Linkedin,0,7.4,8,0,3
19,Female,High School,Thailand,5.9,Instagram,1,5.3,5,4,8
21,Male,Undergraduate,Vietnam,3.6,Facebook,0,6.7,7,1,5
20,Female,Undergraduate,Philippines,4.8,Snapchat,1,5.7,6,3,7
18,Male,High School,Indonesia,5.4,Tiktok,1,5.4,5,4,8
23,Female,Graduate,Taiwan,2.6,Linkedin,0,7.2,8,1,4
19,Male,Undergraduate,Hong Kong,4.7,Instagram,1,5.8,6,3,7
20,Female,Undergraduate,Turkey,5.6,Tiktok,1,5.5,5,4,8
22,Male,Graduate,Israel,3.1,Facebook,0,6.8,7,1,5
19,Female,High School,Uae,6.2,Instagram,1,5.1,5,4,9
21,Male,Undergraduate,Egypt,3.9,Youtube,0,6.5,7,2,6
20,Female,Undergraduate,Morocco,4.5,Tiktok,1,5.8,6,3,7
24,Male,Graduate,South Africa,2.3,Linkedin,0,7.3,8,1,4
